"State","year","vals"
"Colorado","1921",12.01922512
"Connecticut","1921",16.87301254
"Delaware","1921",22.32103157
"District of Columbia","1921",13.73854446
"Florida","1921",15.34899712
"Georgia","1921",14.97041035
"Hawaii","1921",NA
"Idaho","1921",6.020228386
"Illinois","1921",14.93252277
"Indiana","1921",11.17294788
"Iowa","1921",9.028697014
"Kansas","1921",9.424743652
"Kentucky","1921",14.20957851
"Louisiana","1921",13.33959961
"Maine","1921",13.35020828
"Maryland","1921",19.0505085
"Massachusetts","1921",17.10801506
"Michigan","1921",14.37677193
"Minnesota","1921",12.76007271
"Mississippi","1921",12.15756702
"Missouri","1921",15.81838131
"Montana","1921",9.046267509
"Nebraska","1921",10.17517471
"Nevada","1921",8.358239174
"New Hampshire","1921",11.65902615
"New Jersey","1921",16.84342766
"New Mexico","1921",11.51633835
"New York","1921",21.15302467
"North Carolina","1921",13.82522297
"North Dakota","1921",9.27709198
"Ohio","1921",14.79372978
"Oklahoma","1921",13.16946411
"Oregon","1921",10.48165703
"Pennsylvania","1921",15.83304214
"Rhode Island","1921",18.88603401
"South Carolina","1921",12.11976337
"South Dakota","1921",8.94999218
"Tennessee","1921",15.98314762
"Texas","1921",12.46272755
"Utah","1921",9.549225807
"Vermont","1921",13.66406918
"Virginia","1921",12.98071194
"Washington","1921",10.14112663
"West Virginia","1921",10.23585224
"Wisconsin","1921",12.41004658
"Wyoming","1921",6.424910069
"Alabama","1922",14.40902042
"Alaska","1922",NA
"Arizona","1922",9.957972527
"Arkansas","1922",11.91493416
"California","1922",14.58980179
"Colorado","1922",13.9623251
"Connecticut","1922",17.05309677
"Delaware","1922",23.51999664
"District of Columbia","1922",17.42218781
"Florida","1922",17.13795853
"Georgia","1922",15.24253559
"Hawaii","1922",NA
"Idaho","1922",6.267473221
"Illinois","1922",16.73104858
"Indiana","1922",11.7075367
"Iowa","1922",7.887205124
"Kansas","1922",10.05702209
"Kentucky","1922",15.12472725
"Louisiana","1922",14.09760952
"Maine","1922",13.90045929
"Maryland","1922",20.52475357
"Massachusetts","1922",19.31044579
"Michigan","1922",15.37056255
"Minnesota","1922",13.6517849
"Mississippi","1922",12.28695202
"Missouri","1922",16.90242386
"Montana","1922",9.253614426
"Nebraska","1922",10.54867077
"Nevada","1922",7.651323318
"New Hampshire","1922",12.88441086
"New Jersey","1922",17.22175789
"New Mexico","1922",12.22330666
"New York","1922",23.5290432
"North Carolina","1922",12.27048492
"North Dakota","1922",9.101575851
"Ohio","1922",15.83863354
"Oklahoma","1922",15.35004139
"Oregon","1922",11.17626476
"Pennsylvania","1922",17.97157097
"Rhode Island","1922",19.12529755
"South Carolina","1922",12.00829411
"South Dakota","1922",8.847476959
"Tennessee","1922",16.67780495
"Texas","1922",14.13924408
"Utah","1922",9.908604622
"Vermont","1922",14.6858387
"Virginia","1922",14.51187992
"Washington","1922",9.763928413
"West Virginia","1922",11.62360764
"Wisconsin","1922",12.76548862
"Wyoming","1922",7.11536026
"Alabama","1923",13.67565441
"Alaska","1923",NA
"Arizona","1923",9.22690773
"Arkansas","1923",11.08788872
"California","1923",13.74531841
"Colorado","1923",12.40613842
"Connecticut","1923",16.58732224
"Delaware","1923",23.29258347
"District of Columbia","1923",14.97632027
"Florida","1923",16.67664337
"Georgia","1923",15.31511784
"Hawaii","1923",NA
"Idaho","1923",6.036692619
"Illinois","1923",15.6527071
"Indiana","1923",10.65660095
"Iowa","1923",8.162848473
"Kansas","1923",9.170484543
"Kentucky","1923",15.18001747
"Louisiana","1923",14.39290237
"Maine","1923",13.05433941
"Maryland","1923",20.79388809
"Massachusetts","1923",17.09686661
"Michigan","1923",13.13903332
"Minnesota","1923",12.9685688
"Mississippi","1923",12.2497015
"Missouri","1923",15.83464909
"Montana","1923",7.923465252
"Nebraska","1923",9.875703812
"Nevada","1923",7.343146801
"New Hampshire","1923",11.16478729
"New Jersey","1923",17.6848278
"New Mexico","1923",11.61774349
"New York","1923",21.67834282
"North Carolina","1923",11.91597462
"North Dakota","1923",9.108592987
"Ohio","1923",13.3980484
"Oklahoma","1923",14.2114296
"Oregon","1923",9.824318886
"Pennsylvania","1923",15.76245785
"Rhode Island","1923",15.33770466
"South Carolina","1923",12.73804665
"South Dakota","1923",8.605778694
"Tennessee","1923",15.28355312
"Texas","1923",13.45856857
"Utah","1923",8.987736702
"Vermont","1923",13.54368591
"Virginia","1923",12.86639595
"Washington","1923",9.026079178
"West Virginia","1923",9.684959412
"Wisconsin","1923",10.38777542
"Wyoming","1923",6.006812572
"Alabama","1924",14.84949207
"Alaska","1924",NA
"Arizona","1924",10.65065479
"Arkansas","1924",11.25520229
"California","1924",15.11767673
"Colorado","1924",13.37125874
"Connecticut","1924",19.01355743
"Delaware","1924",29.85939026
"District of Columbia","1924",18.16314888
"Florida","1924",17.83032608
"Georgia","1924",16.94039345
"Hawaii","1924",NA
"Idaho","1924",7.010237217
"Illinois","1924",16.78551483
"Indiana","1924",12.60121536
"Iowa","1924",10.37924099
"Kansas","1924",11.02810764
"Kentucky","1924",15.1023283
"Louisiana","1924",15.36019325
"Maine","1924",14.95649433
"Maryland","1924",20.07448196
"Massachusetts","1924",20.51041985
"Michigan","1924",15.01720238
"Minnesota","1924",13.62681866
"Mississippi","1924",12.51232624
"Missouri","1924",16.81713295
"Montana","1924",8.296658516
"Nebraska","1924",11.00425339
"Nevada","1924",8.083247185
"New Hampshire","1924",13.54807663
"New Jersey","1924",18.24561691
"New Mexico","1924",13.03617954
"New York","1924",23.6035099
"North Carolina","1924",12.5593214
"North Dakota","1924",9.310972214
"Ohio","1924",15.72143269
"Oklahoma","1924",15.86164951
"Oregon","1924",10.49087143
"Pennsylvania","1924",16.94087219
"Rhode Island","1924",19.36096764
"South Carolina","1924",12.05722332
"South Dakota","1924",7.331981659
"Tennessee","1924",16.40721893
"Texas","1924",14.91530228
"Utah","1924",9.897187233
"Vermont","1924",13.52366161
"Virginia","1924",14.69421959
"Washington","1924",9.125822067
"West Virginia","1924",10.85376644
"Wisconsin","1924",12.5295372
"Wyoming","1924",6.582201958
"Alabama","1925",16.15468788
"Alaska","1925",NA
"Arizona","1925",14.55007076
"Arkansas","1925",12.73581409
"California","1925",16.68078613
"Colorado","1925",16.35177231
"Connecticut","1925",21.83682442
"Delaware","1925",36.30644226
"District of Columbia","1925",22.31522942
"Florida","1925",13.77814293
"Georgia","1925",18.39523506
"Hawaii","1925",NA
"Idaho","1925",8.123930931
"Illinois","1925",19.73998833
"Indiana","1925",15.57989025
"Iowa","1925",13.56053066
"Kansas","1925",14.48763084
"Kentucky","1925",17.19694519
"Louisiana","1925",16.45853806
"Maine","1925",19.01729012
"Maryland","1925",24.56599045
"Massachusetts","1925",22.8055687
"Michigan","1925",18.1648674
"Minnesota","1925",15.20153141
"Mississippi","1925",13.05619717
"Missouri","1925",19.24824142
"Montana","1925",12.05142689
"Nebraska","1925",13.32078648
"Nevada","1925",11.12956715
"New Hampshire","1925",15.6354351
"New Jersey","1925",22.11180496
"New Mexico","1925",14.78984737
"New York","1925",25.82184219
"North Carolina","1925",13.51147175
"North Dakota","1925",10.47414589
"Ohio","1925",17.87721062
"Oklahoma","1925",18.52612305
"Oregon","1925",13.26996708
"Pennsylvania","1925",19.95553589
"Rhode Island","1925",20.79271507
"South Carolina","1925",13.0000658
"South Dakota","1925",7.844607353
"Tennessee","1925",18.81614113
"Texas","1925",17.27343941
"Utah","1925",12.26427269
"Vermont","1925",17.00586319
"Virginia","1925",17.08916855
"Washington","1925",11.94268894
"West Virginia","1925",13.86000633
"Wisconsin","1925",13.36049843
"Wyoming","1925",9.867833138
"Alabama","1926",15.4890995
"Alaska","1926",NA
"Arizona","1926",14.24377441
"Arkansas","1926",12.58300018
"California","1926",17.70888901
"Colorado","1926",16.11135864
"Connecticut","1926",20.49133873
"Delaware","1926",39.02811432
"District of Columbia","1926",22.13463974
"Florida","1926",15.78155899
"Georgia","1926",18.11491966
"Hawaii","1926",NA
"Idaho","1926",8.132695198
"Illinois","1926",18.96901703
"Indiana","1926",16.37083054
"Iowa","1926",13.07675552
"Kansas","1926",15.14374924
